origin,timestamp,horizon,analysis_period,actual_P_kW,actual_Q_kVAr,S24-T10_P_kW,S24-T10_Q_kVAr,S24-T30_P_kW,S24-T30_Q_kVAr,S24-T60_P_kW,S24-T60_Q_kVAr,S36-T60_P_kW,S36-T60_Q_kVAr,S48-T60_P_kW,S48-T60_Q_kVAr,SNaive-168_P_kW,SNaive-168_Q_kVAr,SNaive-24_P_kW,SNaive-24_Q_kVAr
2022-02-16,2022-02-16 07:00:00,8,primary_54,2193.6,636.3,2139.364670875223,587.7193100647726,2174.99600315674,633.7297607466872,2191.818758423344,630.4345624904308,2175.8292005935173,628.1395651558538,2181.1786765141533,632.9183478135927,1905.3,533.1,2236.5,661.8000000000001
2022-02-16,2022-02-16 08:00:00,9,primary_54,2329.5,798.6,2389.240308287817,939.2051949774144,2462.1803609232884,969.4319975582569,2462.93840980242,941.036378396084,2417.868651223885,953.8474052300433,2460.858583060389,937.1008757745004,2242.5,826.8,2428.5,925.5
2022-02-16,2022-02-16 09:00:00,10,primary_54,2662.2,1169.7,2569.656223663996,1236.9962329283103,2623.815764745089,1187.0303857067663,2604.6903828218465,1178.1249606095373,2593.490282535696,1189.5124795933234,2604.801682079879,1159.4168386860235,2268.6,887.4000000000001,2548.8,1168.2
2022-02-16,2022-02-16 10:00:00,11,primary_54,2776.8,1253.4,2580.054206662286,1219.058259376009,2609.993598462293,1196.653015909831,2607.240012571968,1240.4672488828808,2587.8556985449163,1204.0792715586592,2598.4514249367007,1219.3378576062091,2178.0,723.3000000000001,2594.1,1306.5
2022-02-16,2022-02-16 11:00:00,12,primary_54,2580.6,1096.8,2550.319242563872,1140.1064183990054,2561.809327416036,1166.378565996657,2549.6837861903987,1214.9143379413815,2524.9012191860006,1160.3789188614055,2518.8417512502683,1167.8857726345625,2173.5,697.5,2544.6,1259.7
2022-02-16,2022-02-16 12:00:00,13,primary_54,2560.5,1040.7,2490.878240277368,1073.107591241908,2520.0660773101727,1136.2699453112318,2505.325738659773,1159.1213947784956,2475.418626495853,1132.9031333035664,2469.6009090896605,1154.5486011288276,2138.1,666.9,2544.6,1260.9
2022-02-16,2022-02-16 13:00:00,14,primary_54,2445.0,1029.9,2552.255110621083,1160.80916383879,2543.9277421274824,1179.572504139495,2532.009392091901,1229.314364538254,2475.9834010599084,1186.8508031597137,2512.7703528351244,1204.9981304875307,2080.5,624.9,2483.7,1290.0
2022-02-16,2022-02-16 14:00:00,15,primary_54,2560.2,1087.5,2606.35138540009,1233.6263472170524,2557.2753932574883,1180.2714272642208,2565.9729039083954,1239.4953499907556,2480.133154314228,1204.4113967117023,2516.504076054325,1231.2576422070763,2031.0,634.2,2519.4,1219.2
2022-02-16,2022-02-16 15:00:00,16,primary_54,2603.1,1179.3,2511.83659620113,1062.7402280180086,2515.310677565732,1081.9956585870516,2547.5304305557597,1149.629824928577,2468.135541147254,1108.6789384311785,2515.4672338022256,1144.077868700501,2069.4,649.2,2422.2,1146.0
2022-02-16,2022-02-16 16:00:00,17,primary_54,2535.3,992.7,2283.56858049748,799.0480263568552,2370.5275691065453,869.9229226684712,2360.258313231657,866.8876192827038,2344.2350068989517,885.9705393960605,2373.3260275590173,892.2765306748058,2163.3,744.6,2370.9,1007.1
2022-02-16,2022-02-16 17:00:00,18,primary_54,2424.3,745.8,2341.5125947475667,725.9727192164582,2420.617399514087,806.6181857433114,2432.8822571983774,817.7471888042246,2400.374975384138,806.8454584675653,2419.9043833873693,815.3905400974028,2196.9,606.0,2541.3,975.6
2022-02-16,2022-02-16 18:00:00,19,primary_54,2497.5,689.7,2441.1169639854515,744.3237155688582,2457.1319786088834,787.0846540527626,2485.3028471868706,790.7664659990096,2460.7047417077006,781.1806499171723,2477.229302944824,789.3705736513094,2238.0,545.1,2612.7,923.7
2022-02-16,2022-02-16 19:00:00,20,primary_54,2388.9,596.1,2426.495214891662,702.4155002331285,2406.5573511919447,727.3354831542342,2477.497318423458,726.4011985670204,2423.2130973677386,724.8820913043228,2482.212076868201,735.0766505647575,2227.8,516.0,2497.5,759.9
2022-02-16,2022-02-16 20:00:00,21,primary_54,2335.2,569.4,2421.1494357750403,686.4656318191832,2371.416042618485,709.1963962973756,2431.142571993592,708.7821871405231,2363.225024807863,701.6506382577569,2417.5805438127454,714.1996995772394,2226.9,530.7,2471.1,727.8000000000001
